"specimens_count","sh_mean","sh_stdv","lwh_mean","lwh_stdv","asih_mean","asih_stdv","sih_mean","sih_stdv","aw_mean","aw_stdv","sw_mean","sw_stdv","sic_mean","sic_stdv","aa_mean","aa_stdv","aao_mean","aao_stdv"
3,6.26,1.88,4.18,2,6.07,3.9,1.19,1.74,1.93,1.32,3.08,0.94,4.88,5.51,59.87,2.32,68.83,28.38
1,12.49,NA,8.94,NA,6.06,NA,3.92,NA,2.22,NA,6.3,NA,2.14,NA,53.33,NA,65.35,NA
2,17.88,0.92,12.54,2.21,8.4,0.65,6.49,0.13,3.55,0.05,9.05,0.29,1.91,0.51,55.48,0.45,-67.71,21.13
3,11.38,2.06,8.35,1.35,5.63,0.92,3.57,0.71,2.37,0.43,5.71,0.76,2.06,0.21,55.55,6.16,-10.47,17.15
1,19.22,NA,12.71,NA,9.09,NA,6.75,NA,3.67,NA,10.11,NA,2.34,NA,59.88,NA,-95.24,NA
1,3.45,NA,2.73,NA,1.97,NA,1.11,NA,0.81,NA,1.98,NA,0.86,NA,52.19,NA,68.68,NA
8,14.85,3.45,11.02,2.3,7.47,1.57,5.47,1.61,3.09,0.83,7.48,1.66,2,0.41,60.18,4.78,67.87,5.59
5,74.44,39.51,57.52,31.93,44.66,25.18,22.25,12,14.07,7.1,27.65,12.47,22.41,13.32,51.9,6.2,91.6,12.78
1,19.01,NA,14.51,NA,11.04,NA,4.53,NA,2.5,NA,10.91,NA,6.51,NA,50.17,NA,89.09,NA
31,12.76,2.72,9.01,1.99,7.15,1.48,5.7,1.21,2.4,0.55,6.44,1.59,1.44,0.47,50.26,27.29,-79.92,39.54
36,11.67,3.68,9.25,3.06,6.36,2.05,4.66,1.65,2.82,0.99,6.63,2.47,1.71,0.6,65.4,8.43,NA,NA
10,3.72,0.81,2.86,0.7,2.03,0.49,1.58,0.4,0.87,0.24,2.13,0.55,0.44,0.15,65.18,7.88,65.64,2.59
35,13.82,3.82,12.24,3.43,8.87,2.63,6.69,2.39,3.87,1.09,9.63,2.58,2.18,0.58,86.79,10.13,-1.6,NA
